# col1  col3     
  0.005 8.618E-5 
  0.015 2.0234E-4
  0.025 3.3278E-4
  0.035 3.8999E-4
  0.045 3.7416E-4
  0.055 3.4366E-4
  0.065 3.1364E-4
  0.075 2.789E-4 
  0.085 2.4521E-4
  0.095 2.132E-4 
  0.105 1.8309E-4
  0.115 1.5521E-4
  0.125 1.3028E-4
  0.135 1.1126E-4
  0.145 9.996E-5 
  0.155 9.413E-5 
  0.165 9.16E-5  
  0.175 9.171E-5 
  0.185 9.499E-5 
  0.195 1.0227E-4
  0.205 1.1236E-4
  0.215 1.2381E-4
  0.225 1.3709E-4
  0.235 1.5188E-4
  0.245 1.6444E-4
  0.255 1.7584E-4
  0.265 1.887E-4 
  0.275 2.0265E-4
  0.285 2.2006E-4
  0.295 2.4592E-4
  0.305 2.791E-4 
  0.315 3.1602E-4
  0.325 3.5706E-4
  0.335 4.0088E-4
  0.345 4.4397E-4
  0.355 4.8343E-4
  0.365 5.1694E-4
  0.375 5.4058E-4
  0.385 5.516E-4 
  0.395 5.516E-4 
  0.405 5.4667E-4
  0.415 5.4186E-4
  0.425 5.3704E-4
  0.435 5.3216E-4
  0.445 5.2848E-4
  0.455 5.2612E-4
  0.465 5.2451E-4
  0.475 5.2181E-4
  0.485 5.1894E-4
  0.495 5.2241E-4
  0.505 5.337E-4 
  0.515 5.4512E-4
  0.525 5.5262E-4
  0.535 5.5816E-4
  0.545 5.5696E-4
  0.555 5.4995E-4
  0.565 5.476E-4 
  0.575 5.4963E-4
  0.585 5.4951E-4
  0.595 5.4846E-4
  0.605 5.4969E-4
  0.615 5.4903E-4
  0.625 5.4221E-4
  0.635 5.3553E-4
  0.645 5.3675E-4
  0.655 5.4088E-4
  0.665 5.3999E-4
  0.675 5.3527E-4
  0.685 5.2804E-4
  0.695 5.1956E-4
  0.705 5.1437E-4
  0.715 5.1306E-4
  0.725 5.1213E-4
  0.735 5.1324E-4
  0.745 5.1974E-4
  0.755 5.298E-4 
  0.765 5.4171E-4
  0.775 5.5577E-4
  0.785 5.7212E-4
  0.795 5.9863E-4
  0.805 5.7919E-4
  0.815 5.6484E-4
  0.825 5.4593E-4
  0.835 5.2647E-4
  0.845 5.0886E-4
  0.855 4.9158E-4
  0.865 4.7235E-4
  0.875 4.5127E-4
  0.885 4.294E-4 
  0.895 4.0671E-4
  0.905 3.8449E-4
  0.915 3.6384E-4
  0.925 3.4232E-4
  0.935 3.1832E-4
  0.945 2.9381E-4
  0.955 2.7173E-4
  0.965 2.5242E-4
  0.975 2.3367E-4
  0.985 2.1481E-4
  0.995 1.9601E-4
  1.005 1.7761E-4
  1.015 1.6069E-4
  1.025 1.4546E-4
  1.035 1.3129E-4
  1.045 1.182E-4 
  1.055 1.0632E-4
  1.065 9.56E-5  
  1.075 8.575E-5 
  1.085 7.69E-5  
  1.095 6.889E-5 
  1.105 6.15E-5  
  1.115 5.471E-5 
  1.125 4.864E-5 
  1.135 4.329E-5 
  1.145 3.85E-5  
  1.155 3.391E-5 
  1.165 2.966E-5 
  1.175 2.591E-5 
  1.185 2.264E-5 
  1.195 1.981E-5 
  1.205 1.733E-5 
  1.215 1.506E-5 
  1.225 1.3E-5   
  1.235 1.129E-5 
  1.245 9.9E-6   
  1.255 8.7E-6   
  1.265 7.59E-6  
  1.275 6.6E-6   
  1.285 5.77E-6  
  1.295 5.08E-6  
  1.305 4.48E-6  
  1.315 3.93E-6  
  1.325 3.43E-6  
  1.335 2.99E-6  
  1.345 2.5E-6   
  1.355 2.05E-6  
  1.365 1.7E-6   
  1.375 1.43E-6  
  1.385 1.2E-6   
  1.395 1.0E-6   
  1.405 8.2E-7   
  1.415 6.9E-7   
  1.425 6.1E-7   
  1.435 5.5E-7   
  1.445 4.9E-7   
  1.455 4.6E-7   
  1.465 4.4E-7   
  1.475 4.0E-7   
  1.485 3.5E-7   
  1.495 3.2E-7   
  1.505 2.9E-7   
  1.515 2.3E-7   
  1.525 1.4E-7   
  1.535 6.0E-8   
  1.545 1.0E-8   
  1.555 0.0      
  1.565 0.0      
  1.575 0.0      
  1.585 0.0      
  1.595 0.0      
