# col1  col3       
  0.005 1.69E-6    
  0.015 2.78E-6    
  0.025 4.97E-6    
  0.035 8.11E-6    
  0.045 1.18E-5    
  0.055 1.545E-5   
  0.065 1.85E-5    
  0.075 2.073E-5   
  0.085 2.225E-5   
  0.095 2.323E-5   
  0.105 2.372E-5   
  0.115 2.355E-5   
  0.125 2.253E-5   
  0.135 2.068E-5   
  0.145 1.835E-5   
  0.155 1.596E-5   
  0.165 1.387E-5   
  0.175 1.219E-5   
  0.185 1.093E-5   
  0.195 9.99E-6    
  0.205 9.32E-6    
  0.215 8.84E-6    
  0.225 8.51E-6    
  0.235 8.32E-6    
  0.245 8.25E-6    
  0.255 8.31E-6    
  0.265 8.46E-6    
  0.275 8.69E-6    
  0.285 8.95E-6    
  0.295 9.26E-6    
  0.305 9.62E-6    
  0.315 1.004E-5   
  0.325 1.052E-5   
  0.335 1.11E-5    
  0.345 1.174E-5   
  0.355 1.24E-5    
  0.365 1.302E-5   
  0.375 1.358E-5   
  0.385 1.411E-5   
  0.395 1.463E-5   
  0.405 1.519E-5   
  0.415 1.576E-5   
  0.425 1.633E-5   
  0.435 1.69E-5    
  0.445 1.746E-5   
  0.455 1.802E-5   
  0.465 1.859E-5   
  0.475 1.919E-5   
  0.485 1.986E-5   
  0.495 2.059E-5   
  0.505 2.139E-5   
  0.515 2.22E-5    
  0.525 2.295E-5   
  0.535 2.359E-5   
  0.545 2.413E-5   
  0.555 2.461E-5   
  0.565 2.514E-5   
  0.575 2.577E-5   
  0.585 2.649E-5   
  0.595 2.724E-5   
  0.605 2.796E-5   
  0.615 2.863E-5   
  0.625 2.931E-5   
  0.635 3.005E-5   
  0.645 3.088E-5   
  0.655 3.174E-5   
  0.665 3.257E-5   
  0.675 3.335E-5   
  0.685 3.409E-5   
  0.695 3.483E-5   
  0.705 3.556E-5   
  0.715 3.631E-5   
  0.725 3.707E-5   
  0.735 3.785E-5   
  0.745 3.867E-5   
  0.755 3.952E-5   
  0.765 4.037E-5   
  0.775 4.122E-5   
  0.785 4.204E-5   
  0.795 4.285E-5   
  0.805 4.364E-5   
